1,Joe Mixon,3,178,1
2,Jayden Reed,4,171,2
3,Jordan Mason,1,152,1
4,J.K. Dobbins,3,139,1
5,Jameson Williams,5,134,1
6,Saquon Barkley,2,132,3
7,Tyreek Hill,7,130,1
8,Rhamondre Stevenson,3,126,1
9,Alec Pierce,3,125,1
10,Lamar Jackson,,122,0
11,Cooper Kupp,14,120,1
12,A.J. Brown,5,119,1
13,Nico Collins,6,117,0
14,Jaylen Waddle,5,112,0
15,Isaiah Likely,9,111,1
16,Bijan Robinson,5,111,0
17,Alvin Kamara,5,110,1
18,Aaron Jones,2,109,1
19,Kenneth Walker III,2,109,1
20,Rachaad White,6,106,0
21,Josh Jacobs,2,104,0
22,James Cook,3,103,0
23,Rashee Rice,7,103,0
24,De'Von Achane,7,100,1
25,Tony Pollard,3,94,1
26,Breece Hall,5,93,1
27,David Montgomery,1,93,1
28,Allen Lazard,6,89,2
29,Brian Robinson Jr.,3,89,1
31,CeeDee Lamb,5,86,0
32,DeVonta Smith,7,84,0
33,James Conner,3,83,1
34,Chris Godwin,8,83,1
35,Najee Harris,1,79,0
36,Tyler Johnson,5,79,0
37,Isiah Pacheco,2,78,1
38,Tyler Lockett,6,77,0
39,Deebo Samuel,5,77,1
40,Bucky Irving,2,76,0
41,George Pickens,6,75,0
42,Jahmyr Gibbs,4,74,1
43,Tank Bigsby,,73,0
44,Rashid Shaheed,3,73,1
45,Jerome Ford,6,69,1
46,Xavier Worthy,2,68,2
47,Malik Nabers,5,66,0
48,Jauan Jennings,5,64,0
49,Jakobi Meyers,3,64,0
50,Ja'Marr Chase,6,62,0
51,Gabriel Davis,3,62,0
52,Austin Ekeler,4,62,0
53,Alexander Mattison,4,62,1
54,Mike Evans,5,61,2
55,Zack Moss,2,61,1
56,Garrett Wilson,6,60,0
57,Davante Adams,5,59,0
58,Tank Dell,3,59,0
59,Travis Etienne,2,59,1
60,Justin Jefferson,4,59,1
61,Brock Bowers,6,58,0
62,Wan'Dale Robinson,6,58,0
66,Justice Hill,6,55,0
67,Ashton Dulin,1,54,1
68,Kyren Williams,3,54,1
69,Rashod Bateman,2,53,0
70,Ray-Ray McCloud,4,52,0
71,Devin Singletary,4,52,0
72,Keon Coleman,4,51,0
73,Greg Dortch,6,51,0
74,Zay Flowers,6,51,0
75,Jamaal Williams,1,51,1
76,Romeo Doubs,4,50,0
77,D.J. Moore,5,50,0
78,Calvin Ridley,3,50,0
79,Ezekiel Elliott,2,49,1
80,Adam Thielen,3,49,0
81,Jonathan Taylor,,48,1
82,Emanuel Wilson,2,48,0
83,Colby Parkinson,4,47,0
84,Brian Thomas,4,47,1
85,Derrick Henry,0,46,1
86,Zamir White,2,46,0
87,Brandin Cooks,4,45,1
88,Sam LaPorta,4,45,0
89,Josh Reynolds,5,45,0
90,David Njoku,4,44,0
91,Jonathan Mingo,2,43,0
92,Foster Moreau,4,43,1
93,Ty Chandler,3,42,0
94,Puka Nacua,4,42,0
95,Demarcus Robinson,4,42,0
96,Khalil Shakir,3,42,1
97,Zach Charbonnet,2,41,1
98,Kyle Juszczyk,2,40,0
99,George Kittle,4,40,0
101,Stefon Diggs,6,39,2
102,Ladd McConkey,5,39,1
103,Devaughn Vele,8,39,0
104,Deshaun Watson,,39,0
105,Quentin Johnston,3,38,0
106,Courtland Sutton,4,38,0
107,Noah Gray,3,37,0
108,Tucker Kraft,2,37,0
109,Taysom Hill,1,36,0
111,Jordan Addison,3,35,0
112,Xavier Legette,4,35,0
114,Travis Kelce,3,34,0
115,Hayden Hurst,2,33,0
118,Rico Dowdle,1,32,0
119,Jalen McMillan,1,32,1
120,Tyjae Spears,4,32,0
121,Dallas Goedert,4,31,0
122,Austin Hooper,2,31,0
123,Michael Pittman Jr.,4,31,0
124,Christian Kirk,1,30,0
125,Trey McBride,5,30,0
126,Geno Smith,,30,1
127,Pierre Strong,2,30,0
128,D'Andre Swift,0,30,0
129,Keenan Allen,4,29,0
130,D.K. Metcalf,3,29,0
131,Brandon Aiyuk,2,28,0
132,Gus Edwards,1,28,0
133,Zach Ertz,3,28,0
134,Jaleel McLaughlin,5,28,0
135,Jordan Akins,3,27,0
136,Ray Davis,1,27,0
137,Pat Freiermuth,4,27,0
138,Josh Oliver,2,27,0
139,Tyquan Thornton,2,27,0
140,Emari Demercado,2,26,0
141,Andrei Iosivas,3,26,0
142,Juwan Johnson,2,26,1
143,Kyle Pitts,3,26,1
144,Darius Slayton,3,26,0
145,Jeff Wilson,,26,0
146,Mack Hollins,2,25,1
147,Jerry Jeudy,3,25,1
148,Justin Watson,1,25,0
149,Chase Brown,3,23,0
150,Dawson Knox,1,23,0
151,Javonte Williams,1,23,0
152,Miles Sanders,0,22,0
153,Tre Tucker,2,22,0
154,Tyler Allgeier,,21,0
156,Jalen Nailor,1,21,1
157,K.J. Osborn,3,21,0
158,Jaylen Warren,2,20,0
159,Diontae Johnson,2,19,0
160,Velus Jones Jr.,1,19,0
161,Raheem Mostert,2,19,0
162,Trey Palmer,1,19,0
163,Jaxon Smith-Njigba,2,19,0
164,Marquez Valdes-Scantling,1,19,0
165,Trey Benson,1,18,0
166,Tyler Boyd,3,18,0
167,Jalen Brooks,1,18,0
168,Mike Gesicki,3,18,0
169,Antonio Gibson,,18,0
170,Hunter Henry,2,18,0
171,Tanner Hudson,2,18,0
172,Theo Johnson,1,18,0
173,Hunter Luepke,2,18,0
174,Luke McCaffrey,3,18,0
175,Braelon Allen,1,17,0
176,Terry McLaurin,2,17,0
177,Amari Cooper,2,16,0
178,Dameon Pierce,,16,0
179,Ronnie Rivers,,16,0
180,Dalton Schultz,3,16,0
182,Jake Ferguson,3,15,0
183,Eric Gray,1,15,0
184,Daniel Jones,,15,0
185,Drake London,2,15,0
186,Darnell Mooney,1,15,0
187,Johnny Mundt,2,15,0
188,Chigoziem Okonkwo,2,15,1
189,Josh Palmer,2,15,0
190,Curtis Samuel,2,15,0
192,Olamide Zaccheaus,1,15,0
193,Mark Andrews,2,14,0
194,Audric Estime,,14,0
195,Chuba Hubbard,,14,0
196,David Moore,1,14,0
197,Derek Carr,,13,0
198,Will Dissly,1,13,0
199,Cordarrelle Patterson,,13,0
200,Amon-Ra St. Brown,3,13,0
201,C.J. Stroud,,13,0
202,Christian Watson,3,13,1
203,Demario Douglas,2,12,0
204,Greg Dulcich,2,12,0
205,Kenneth Gainwell,1,12,0
206,Elijah Higgins,2,12,0
207,Kalif Raymond,,12,0
208,Jalen Tolbert,1,12,0
210,Grant Calcaterra,1,11,0
211,Noah Fant,2,11,0
212,C.J. Ham,2,11,0
213,Dalton Kincaid,1,11,0
214,Jordan Mims,,11,0
215,Rome Odunze,1,11,0
216,Chris Olave,2,11,0
217,Brock Purdy,,11,0
219,Nick Vannett,2,11,0
220,Travis Homer,,10,0
221,Samaje Perine,1,10,0
222,Derius Davis,,9,0
223,Elijah Moore,3,9,0
224,MyCole Pruitt,1,9,0
225,DJ Turner,1,9,0
226,DeAndre Hopkins,1,8,0
227,Alec Ingold,0,8,0
229,Calvin Austin,1,7,0
230,Mike Boone,,7,0
232,Ty Johnson,0,7,0
233,Jonnu Smith,1,7,0
235,Tyrone Tracy,1,7,0
236,Nelson Agholor,1,6,0
237,DeAndre Carter,1,6,0
238,Tyler Conklin,1,6,0
240,Julian Hill,1,6,0
241,Trenton Irwin,1,6,0
242,Ja'Lynn Polk,1,6,0
243,Mason Tipton,1,6,0
244,Jamison Crowder,1,5,0
245,Evan Engram,1,5,0
246,Charlie Jones,1,5,0
248,Gardner Minshew II,,5,0
249,Cade Otton,1,5,0
250,Darnell Washington,1,5,0
251,Michael Wilson,1,5,1
252,Marvin Harrison Jr.,1,4,0
253,Khalil Herbert,,4,0
254,Cole Kmet,1,4,0
255,Ja'Tavion Sanders,1,4,0
256,Deuce Vaughn,,4,0
257,Charlie Woerner,1,4,0
258,Daniel Bellinger,1,3,0
259,Treylon Burks,1,3,0
260,Michael Burton,1,3,0
261,Sam Darnold,,3,0
262,Devin Duvernay,,3,0
263,Xavier Hutchinson,1,3,0
264,Brevin Jordan,1,3,0
265,Michael Mayer,2,3,0
266,Dare Ogunbowale,1,3,0
267,Dak Prescott,,3,0
268,Carson Steele,,3,0
269,Cedric Tillman,1,3,0
270,Parker Washington,1,3,0
271,Adonai Mitchell,1,2,0
272,Brock Wright,1,2,0
273,Van Jefferson,1,1,0
274,Laviska Shenault Jr.,1,1,0